## This is the data from pheatmap R package
# this is testData_noParameters_10rows
# With Column Names and Row Names 
#----------------------------------------------------------------------------------
Gene,Test1,Test2,Test3,Test4,Test5,Test6,Test7,Test8,Test9,Test10
Gene1,2.71004309061392,-0.681551386168087,2.77565953667969,0.675881454014774,3.75600507616668,0.442145255595163,2.98156377730224,-1.63478591763313,1.42283291987121,-0.957783483077805
Gene2,4.38224973342653,-0.33524419985464,3.30484509075781,1.36877550292769,3.14429035059443,-0.284308892941952,1.90037571028097,0.175988133382506,4.15496842883848,1.03340963928813
Gene3,2.06183189179167,0.314470144440487,4.1660133403084,0.727697460880795,3.93491270644695,-1.29914046465398,3.85346178198359,-1.05172811344786,2.67915295818904,-3.21356835881027
Gene4,2.68801596242324,-0.244212610925538,2.943395680309,1.52705566825362,1.77909447046226,2.08385290228931,1.66526147231179,-0.284155753403156,2.23599134787361,1.82229578424302
Gene5,2.80389190123865,1.61625856138239,2.32276063427444,0.416670018231767,3.95942631552407,0.227007680127301,2.45914246817335,-0.278443697446026,4.07276614623534,-0.919949789533745
Gene6,2.31204805819922,-0.996705354693626,1.68231723756828,1.11519919357104,3.54496095456546,2.22103377808133,3.41313469994504,-0.108210743403045,2.09467330000787,1.24387651327252
Gene7,2.68556680663036,-0.400657089355065,2.44491492673606,-1.09236368734154,4.4847497147715,0.0176964411001454,3.51269120846384,-1.47406103980208,3.02902808902831,-0.619021321559298
Gene8,3.0483877445498,0.235168509652934,2.5218447470697,0.0493666104092584,4.07432741506859,0.343981122136048,3.03423329118793,-0.874847604282004,1.8116779766063,-0.217698016090922
Gene9,1.24644784140969,-0.340131609730814,3.19644263490421,-2.4050059565246,4.30348018743217,0.71815323002278,2.91473278173756,-0.0158271520070086,5.04079580327498,1.4353071603357
Gene10,5.18907270756328,0.457327964218187,0.912712310695967,-1.8444634824202,3.90402134753668,-1.70294789483831,3.25889357790085,1.67990767967111,2.42518019120369,-0.450691268441921
